Class,WGS_1984_UTM_49N_x,WGS_1984_UTM_49N_y
0,735004.59630000000,2555911.02100000000
0,738535.69850000000,2555081.54200000000
0,738894.48180000000,2555854.43800000000
0,735636.02320000000,2556398.43000000000
0,735312.71190000000,2556810.17200000000
0,734158.30250000000,2556046.36400000000
0,739157.66844300000,2562500.28084000000
0,740737.22350000000,2563738.21200000000
0,734930.35500000000,2560462.61800000000
0,738618.09920000000,2555800.29100000000
0,740506.49890000000,2556105.96400000000
0,735628.11030000000,2556539.00400000000
0,740616.88140000000,2555775.76600000000
0,740509.87749200000,2555545.03399000000
0,737267.55480000000,2556502.48600000000
0,739162.62790000000,2556166.88700000000
0,738814.53130000000,2555901.23900000000
0,741116.71950000000,2560069.79800000000
0,735694.90520000000,2556428.65400000000
0,739408.65430000000,2562530.89200000000
0,731676.41030000000,2556986.83600000000
0,739856.20540000000,2559893.57500000000
0,735574.25280000000,2555979.63700000000
0,742414.87911700000,2560248.35725000000
0,734738.78445900000,2556034.71890000000
0,736698.57580000000,2556588.55800000000
0,739933.49190000000,2560468.54100000000
0,739319.02840000000,2555930.81600000000
0,739623.65091100000,2562446.39227000000
0,738277.84986100000,2562463.42459000000
0,734934.73110000000,2560388.18800000000
0,733134.09240000000,2557350.71700000000
0,738675.40920000000,2555966.25200000000
0,740014.84804100000,2561383.30023000000
0,739727.99890000000,2559810.76500000000
0,734742.40810000000,2555921.62000000000
0,741043.64361600000,2567611.55325000000
0,732844.45160000000,2560267.61700000000
0,734208.04820700000,2557915.76340000000
0,735152.17010000000,2556136.49100000000
0,739175.93570000000,2555617.87300000000
0,730005.93120000000,2556822.60300000000
0,739241.89890000000,2555898.41900000000
0,739040.08660000000,2555781.66000000000
0,739389.65950000000,2562602.34000000000
0,741635.31470000000,2562629.32300000000
0,734250.64740000000,2557921.64900000000
0,738552.18270000000,2556136.20500000000
0,740891.51720000000,2562084.58800000000
0,736704.62580000000,2561599.04600000000
0,739264.63760000000,2555720.35100000000
0,740721.77380000000,2562787.04000000000
0,734827.26986400000,2555973.04032000000
0,733910.52630000000,2559857.39900000000
0,741089.52357200000,2567513.49355000000
0,740807.29723200000,2555591.29925000000
0,739908.20230000000,2562449.70400000000
0,734923.86960000000,2556093.67700000000
0,735015.03230000000,2556510.09700000000
0,740818.60010000000,2555396.59900000000
0,735691.31783900000,2556589.69551000000
0,740681.72975200000,2554401.02504000000
0,738827.84360000000,2562791.49000000000
0,735056.49386100000,2556750.08094000000
0,733984.97590000000,2559710.05600000000
0,734833.04590000000,2556651.20900000000
0,736917.11100000000,2561462.67000000000
0,735558.27360000000,2556234.91400000000
0,734707.43720000000,2556233.17000000000
0,740385.43420000000,2555590.09300000000
0,740137.56870000000,2554319.17500000000
0,739506.88580000000,2562596.61600000000
0,740857.68830000000,2562057.06200000000
0,739694.73810000000,2562270.22300000000
0,734780.22840000000,2556537.07400000000
0,740303.72420000000,2554213.18000000000
0,739781.82700000000,2555574.45100000000
0,732925.43240000000,2554403.10400000000
0,738489.26090000000,2554998.03700000000
0,735539.48360000000,2555857.83100000000
0,732934.77250000000,2554307.23400000000
0,736948.26329400000,2558667.71227000000
0,740609.68610000000,2555568.44800000000
0,740000.12620000000,2561219.11200000000
0,739929.93100000000,2554906.61200000000
0,739567.57450000000,2563006.77100000000
0,739506.61180000000,2562646.31200000000
0,740510.36460000000,2555378.78700000000
0,734896.22440000000,2556131.33600000000
0,735776.08150000000,2556512.72800000000
0,735498.01420000000,2556501.79500000000
0,736961.05490000000,2562090.59100000000
0,739433.37980000000,2562667.91900000000
0,740925.60410000000,2562022.43500000000
0,740094.93760000000,2560645.09300000000
0,740539.36660000000,2554230.67400000000
0,740335.45385900000,2554106.67296000000
0,739847.16590000000,2560102.49600000000
0,740631.49340000000,2555631.96300000000
0,737047.60406600000,2559509.35124000000
0,740755.56480000000,2555491.86800000000
0,734480.31180000000,2557850.69700000000
0,739868.27990000000,2560994.11800000000
0,740428.81290000000,2555379.94100000000
0,732893.19070000000,2557502.01600000000
0,735535.61360000000,2556593.60800000000
0,735401.50340000000,2556799.87300000000
0,736925.67020000000,2561856.48000000000
0,730097.89320000000,2556814.59900000000
0,735541.89740000000,2556667.26800000000
0,740512.71625100000,2555727.94801000000
0,740448.00320000000,2555060.91200000000
0,734158.38410000000,2556010.73600000000
0,738597.35910000000,2555966.78800000000
0,739429.66680000000,2562587.71700000000
0,740741.49230000000,2556105.83300000000
0,739440.54080000000,2556065.87200000000
0,741569.90683600000,2562823.09758000000
0,733987.44140000000,2559598.83700000000
0,734106.05300000000,2556107.10700000000
0,740401.14930000000,2555650.60600000000
0,739769.79040000000,2563040.77000000000
0,737065.06582300000,2559171.45343000000
0,734633.03850000000,2555927.70900000000
0,731443.24970000000,2556903.39800000000
0,735353.22110000000,2556718.90100000000
0,734811.69860000000,2560319.20300000000
0,739801.82520000000,2562694.83400000000
0,733264.11490000000,2557334.14500000000
0,740808.92230000000,2562292.01900000000
0,736710.32700000000,2556762.85300000000
0,733143.63190000000,2557457.32600000000
0,736809.40190000000,2556582.83500000000
0,739212.03440000000,2555767.03600000000
0,739378.71610000000,2555860.79500000000
0,736781.68320000000,2555070.35600000000
0,739856.09800000000,2561123.92700000000
0,736528.51502900000,2561643.95072000000
0,736989.72834200000,2559537.79645000000
0,735565.92650000000,2556290.09000000000
0,740236.04090000000,2563417.07800000000
0,740312.13360000000,2566012.40300000000
